pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
pw_00e53ae062fd54d2,32095_entrance_a_busway_01,32095_node_elevator_a_busway_01,1,1,6.93,,,,,Olney Transit Center | Elevator,
pw_00f2a87c1013bdd0,32095_node_g_stairs_mezzanine_01,32095_node_g_stairs_mezzanine_02,2,1,4.87,,9,,,,
pw_024b55456e9a0487,32095_entrance_stairs_e_busway_01,32095_node_e_stairs_mezzanine_01,2,1,,,19,,,"B1, B2, B3 Northbound & Southbound",
pw_04809be46d6b0bf2,32095_node_g_stairs_mezzanine_01,32095_node_exit_gate_mezzanine_04,1,1,17.58,,,,,,"Exit G Broad Street & Olney Av NE | Buses | 26, 18 West"
pw_08bfe737e938cf63,32095_node_northbound_stairs_mezzanine_02,32095_node_stairs_platform_level_02,2,1,,,19,,,,
pw_09e5a7d69d658857,32095_node_exit_gate_mezzanine_04,32095_node_east_mezzanine_01,1,1,26.32,,,,,,
pw_0ffc47bb3bd7d9ca,32095_node_c_stairs_mezzanine_01,32095_node_east_mezzanine_01,1,1,19.70,,,,,,"Exit C | Buses | 18 Express, L"
pw_101770347b92c6d9,32095_node_south_mezzanine_01,32095_node_southbound_stairs_mezzanine_03,1,1,14.38,,,,,"Southbound, B1 NRG Station, B2 Walnut Locust, B3 8th-Market",
pw_11238f7e2cf53296,32095_boarding_northbound_local_platform_level_02,32095_boarding_northbound_local_platform_level_01,1,1,52.55,,,,,,
pw_167ddb1a45a3879c,32095_node_northwest_boarding_busway_01,373,1,1,4.18,,,,,,
pw_170ce353546361f4,32095_node_southbound_stairs_mezzanine_01,32095_node_southbound_stairs_platform_01,2,1,,,25,,,,
pw_179f02399323af74,32095_node_south_mezzanine_01,32095_node_southbound_escalator_mezzanine_01,1,1,7.34,,,,,"B1, B2, B3 Northbound Fern Rock Transit Center",
pw_17ac6a5a64d3d803,32095_node_escalator_to_street_mezzanine_01,32095_node_exit_a_mezzanine_01,1,1,2.01,,,,,,
pw_1df685a4566a05b0,32095_node_southbound_escalator_mezzanine_01,32095_node_exit_gate_mezzanine_02,1,1,4.04,,,,,"Exit Broad Street | Buses | 18, 16 North",
pw_1fb12c9269a6bf29,32095_node_northbound_elevator_platform_level_01,32095_boarding_northbound_local_platform_level_04,1,1,9.14,,,,,B1 Northbound Fern Rock Transit Center,Elevator | Exit to Street | Buses
pw_221853e84f621f54,32095_node_northwest_boarding_busway_01,32636,1,1,21.58,,,,,Bus | 26 Frankford Transportation Center,
pw_23d088f667eb6f56,32095_node_fare_gate_mezzanine_03,32095_node_north_mezzanine_01,1,1,14.52,,,,,,
pw_249f9e52e31e09a0,32095_node_north_mezzanine_01,32095_node_southbound_stairs_mezzanine_02,1,1,13.85,,,,,"Southbound, B1 NRG Station, B2 Walnut Locust, B3 8th-Market",
pw_25289aaf3629b5aa,32095_node_stairs_platform_level_02,32095_boarding_northbound_local_platform_level_02,1,1,9.68,,,,,B1 Northbound Fern Rock Transit Center,Exit to Street | Buses
pw_25c3465569ee914b,32636,32631,1,1,6.39,,,,,"Bus | 80 Express Horsham, 22 Willow Grove & Warminster",Bus | 26 Frankford Transportation Center
pw_2658849d9a4e577c,32095_boarding_southbound_express_platform_level_04,32095_boarding_southbound_express_platform_level_03,1,1,50.86,,,,,,
pw_2d3187e86a7be53e,32095_node_exit_a_mezzanine_01,32095_node_east_mezzanine_01,1,1,5.31,,,,,,"Exit A Broad Street & Olney Ave SE | Buses | 6, 18 Express, 22, 55, 80, L"
pw_304b076359aefd72,32095_boarding_southbound_local_platform_level_01,32095_boarding_southbound_express_platform_level_03,1,1,3.69,,,,,"Southbound B2 Walnut-Locust, B3 8th-Market",B1 Southbound NRG Station
pw_3137c85a05639f20,32095_node_southbound_stairs_platform_01,32095_boarding_southbound_express_platform_level_04,1,1,3.29,,,,,"Southbound B2 Walnut-Locust, B3 8th-Market",Exit to Street | Buses
pw_315949c1700a03d4,32095_node_stairs_platform_level_06,32095_boarding_southbound_express_platform_level_03,1,1,22.29,,,,,"Southbound B2 Walnut-Locust, B3 8th-Market",Exit to Street | Buses
pw_32041541400924e1,32095_node_south_mezzanine_01,32095_node_northbound_stairs_mezzanine_01,1,1,14.56,,,,,"B1, B2, B3 Northbound Fern Rock Transit Center",
pw_33e393bf8d66b66a,32095_node_northwest_boarding_busway_01,32628,1,1,3.33,,,,,Bus | 55 Wilson Grove & Doyleston,
pw_399698feb0691e71,32095_entrance_a_busway_01,32095_node_escalator_a_busway_01,1,1,4.17,,,,,,
pw_3a27f47046a3d4af,32095_node_fare_gate_mezzanine_02,32095_node_southbound_elevator_mezzanine_01,1,1,10.64,,,,,"Southbound B1, B2, B3 | Elevator",
pw_3c9a987470fbf13f,32095_node_southbound_elevator_mezzanine_01,32095_node_southbound_elevator_platform_01,5,1,,36,,,0.92,"Southbound NRG Station, B1, Walnut Locust, B2, 8th-Market, B3",
pw_3ea847f1b2823381,32095_node_stairs_platform_level_03,32095_boarding_northbound_local_platform_level_01,1,1,5.75,,,,,B1 Northbound Fern Rock Transit Center,Exit to Street | Buses
pw_464726d40c1221a1,32095_node_northbound_elevator_mezzanine_02,32095_node_northbound_elevator_platform_level_01,5,1,,36,,,0.92,"B1, B2, B3, Northbound Fern Rock Transit Center",Elevator | Exit to Street | Buses
pw_465f519d8af38a7c,32095_node_south_boarding_busway_01,32627,1,1,13.06,,,,,Bus | Erdenheim and the Plymouth Meeting Mall,
pw_49a49bc4eaf3ca36,32095_boarding_northbound_express_platform_level_03,32095_boarding_northbound_local_platform_level_03,1,1,3.90,,,,,B1 Northbound Fern Rock Transit Center,"B2, B3 Northbound Fern Rock Transit Center"
pw_49f5bb6cb937488c,32095_node_exit_gate_mezzanine_01,32095_node_exit_gate_mezzanine_04,7,0,3.62,,,,0.92,Exit,
pw_4afd34fc88f5ffb0,32095_boarding_northbound_local_platform_level_01,32095_boarding_northbound_local_platform_level_04,1,1,21.31,,,,,,
pw_5005a043212c5550,32095_node_fare_gate_mezzanine_02,32095_node_northbound_elevator_mezzanine_02,1,1,12.53,,,,,"Northbound B1, B2, B3 | Elevator",
pw_5016991be177cbe4,32095_node_southbound_elevator_platform_01,32095_boarding_southbound_local_platform_level_04,1,1,7.58,,,,,B1 Southbound NRG Station,Elevator | Exit to Street | Buses
