stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,level_id
32095,Olney Transportation Center,,40.038747,-75.144114,1,,1,,
32095_boarding_northbound_express_platform_01,Northbound Express Platform 1,,,,4,32095_platform_general_nolvl_01,1,,32095_PLATFORM
32095_boarding_northbound_express_platform_level_02,Northbound Express Platform 2,,,,4,32095_platform_general_nolvl_01,1,,32095_PLATFORM
32095_boarding_northbound_express_platform_level_03,Northbound Express Platform 3,,,,4,32095_platform_general_nolvl_01,1,,32095_PLATFORM
32095_boarding_northbound_express_platform_level_04,Northbound Express Platform 4,,,,4,32095_platform_general_nolvl_01,1,,32095_PLATFORM
32095_boarding_northbound_local_platform_level_01,Northbound Local Platform 1,,,,4,32095_platform_general_nolvl_03,1,,32095_PLATFORM
32095_boarding_northbound_local_platform_level_02,Northbound Local Platform 2,,,,4,32095_platform_general_nolvl_03,1,,32095_PLATFORM
32095_boarding_northbound_local_platform_level_03,Northbound Local Platform 3,,,,4,32095_platform_general_nolvl_03,1,,32095_PLATFORM
32095_boarding_northbound_local_platform_level_04,Northbound Local Platform 4,,,,4,32095_platform_general_nolvl_03,1,,32095_PLATFORM
32095_boarding_southbound_express_platform_level_01,Southbound Express Platform 1,,,,4,32095_platform_general_nolvl_04,1,,32095_PLATFORM
32095_boarding_southbound_express_platform_level_02,Southbound Express Platform 2,,,,4,32095_platform_general_nolvl_04,1,,32095_PLATFORM
32095_boarding_southbound_express_platform_level_03,Southbound Express Platform 3,,,,4,32095_platform_general_nolvl_04,1,,32095_PLATFORM
32095_boarding_southbound_express_platform_level_04,Southbound Express Platform 4,,,,4,32095_platform_general_nolvl_04,1,,32095_PLATFORM
32095_boarding_southbound_local_platform_level_01,Southbound Local Platform 1,,,,4,32095_platform_general_nolvl_02,1,,32095_PLATFORM
32095_boarding_southbound_local_platform_level_02,Southbound Local Platform 2,,,,4,32095_platform_general_nolvl_02,1,,32095_PLATFORM
32095_boarding_southbound_local_platform_level_03,Southbound Local Platform 3,,,,4,32095_platform_general_nolvl_02,1,,32095_PLATFORM
32095_boarding_southbound_local_platform_level_04,Southbound Local Platform 4,,,,4,32095_platform_general_nolvl_02,1,,32095_PLATFORM
32095_entrance_a_busway_01,Olney Transportation Center Entrance A,,40.038938,-75.144465,2,32095,1,,32095_BUSWAY
32095_entrance_stairs_d_busway_01,Olney Transportation Center Entrance D,,40.038509,-75.144555,2,32095,2,,32095_BUSWAY
32095_entrance_stairs_e_busway_01,Olney Transportation Center Entrance E - Olney Av,,40.038984,-75.145111,2,32095,2,,32095_BUSWAY
32095_entrance_stairs_e_busway_02,Olney Transportation Center Entrance E - Broad St,,40.038840,-75.144966,2,32095,2,,32095_BUSWAY
32095_entrance_stairs_f_busway_01,Olney Transportation Center Entrance F,,40.039343,-75.144790,2,32095,2,,32095_BUSWAY
32095_entrance_stairs_g_busway_01,Olney Transportation Center Entrance G - Olney Av,,40.039080,-75.144286,2,32095,2,,32095_BUSWAY
32095_entrance_stairs_g_busway_02,Olney Transportation Center Entrance G - Broad St,,40.039219,-75.144444,2,32095,2,,32095_BUSWAY
32095_node_a_stairs_mezzanine_01,Stair A - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_b_stairs_mezzanine_01,Stair B - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_busway_entrance_busway_01,Busway Entrance,,,,3,32095,1,,32095_BUSWAY
32095_node_central_boarding_busway_01,Busway Central,,,,3,32095,1,,32095_BUSWAY
32095_node_c_stairs_mezzanine_01,Stair C - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_d_stairs_mezzanine_01,Stair D - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_east_mezzanine_01,Mezzanine East - Unpaid Area,,,,3,32095,1,,32095_MEZZANINE
32095_node_elevator_a_busway_01,Elevator A - Street Level,,,,3,32095,1,,32095_BUSWAY
32095_node_elevator_to_street_mezzanine_01,Elevator Near Exit - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_escalator_a_busway_01,Escalator - Street Level,,,,3,32095,1,,32095_BUSWAY
32095_node_escalator_to_street_mezzanine_01,Escalator A - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_e_stairs_mezzanine_01,Stair E Landing - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_e_stairs_mezzanine_02,Stair E - Mezzanine,,,,3,32095,1,,32095_MEZZANINE
32095_node_exit_a_mezzanine_01,Exit Stairs A,,,,3,32095,1,,32095_MEZZANINE
32095_node_exit_gate_mezzanine_01,Exit Gate Northeast - Paid Area,,,,3,32095,1,,32095_MEZZANINE
32095_node_exit_gate_mezzanine_02,Exit Gate Southeast - Paid Area,,,,3,32095,1,,32095_MEZZANINE
32095_node_exit_gate_mezzanine_03,Exit Gate Northwest - Paid Area,,,,3,32095,1,,32095_MEZZANINE
32095_node_exit_gate_mezzanine_04,Exit Gate Northeast - Unpaid Area,,,,3,32095,1,,32095_MEZZANINE
32095_node_exit_gate_mezzanine_05,Exit Gate Northwest - Unpaid Area,,,,3,32095,1,,32095_MEZZANINE
